station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,add,lon,lat,open_ymd,close_ymd,e_status,e_sort
#駅データ.jp以外(Wikipedia)から取ってきた位置情報ではstation_cdを5桁にする,,,,,,,,,,,,,,
#pref_cd・e_statusは後でまとめて変える,,,,,,,,,,,,,,

#JR北海道,,,,,,,,,,,,,,
1110609,1110609,島ノ下,,,11106,1,076-0036,富良野市字島ノ下,142.350406,43.3744,,,2,1110609
1110711,1110711,稲士別,,,11107,1,089-0564,中川郡幕別町稲志別,143.297528,42.903963,,,2,1110711
1110719,1110719,上厚内,,,11107,1,089-5866,十勝郡浦幌町字上厚内,143.749788,42.831881,,,2,1110719
1110819,1110819,花咲,,,11108,1,087-0032,根室市花咲港,145.575045,43.295388,1921/8/5,2016/3/26,2,1110819
1111627,1111627,金華,,,11116,1,091-0021,北見市留辺蘂町金華,143.57114,43.803484,1914/10/5,2016/3/26,2,1111627
1111620,1111620,下白滝,,,11116,1,099-0101,紋別郡遠軽町下白滝,143.276088,43.944553,1929/8/12,2016/3/26,2,1111620
1111619,1111619,旧白滝,,,11116,1,099-0102,紋別郡遠軽町旧白滝,143.236729,43.919905,1947/2/11,2016/3/26,2,1111619
1111617,1111617,上白滝,,,11116,1,099-0127,紋別郡遠軽町上白滝,143.1444,43.876501,1932/10/1,2016/3/26,2,1111617
1111721,1111721,五十石,,,11117,1,088-2331,川上郡標茶町オソツベツ原野,144.545558,43.238771,,,2,1111721
#留萌本線廃止区間,,,,,,,,,,,,,,
1111313,1111313,瀬越,,,11113,1,077-0047,留萌市瀬越町,141.634535,43.934987,,,2,1111313
1111315,1111315,礼受,,,11113,1,077-0035,留萌市礼受町,141.611358,43.904871,,,2,1111315
1111316,1111316,阿分,,,11113,1,077-0200,増毛郡増毛町大字阿分村,141.605598,43.894339,,,2,1111316
1111317,1111317,信砂,,,11113,1,077-0200,増毛郡増毛町大字舎熊村字信砂,141.589039,43.874479,,,2,1111317
1111318,1111318,舎熊,,,11113,1,077-0200,増毛郡増毛町大字舎熊村字舎熊,141.580068,43.869113,,,2,1111318
1111319,1111319,朱文別,,,11113,1,077-0200,増毛郡増毛町大字朱文別,141.564328,43.860678,,,2,1111319
1111320,1111320,箸別,,,11113,1,077-0200,増毛郡増毛町増毛村大字箸別,141.55164,43.859125,,,2,1111320
1111321,1111321,増毛,,,11113,1,077-0205,増毛郡増毛町弁天町１丁目,141.527559,43.856522,,,2,1111321
#留萌本線ここまで,,,,,,,,,,,,,,
1110904,1110904,美々,,,11109,1,066-0012,千歳市美々,141.711387,42.777418,,,2,1110904
1111003,1111003,東追分,,,11110,1,059-1984,勇払郡安平町追分向陽,141.83228,42.902377,1965/3/1,2016/3/26,2,1111003
1111006,1111006,十三里,,,11110,1,068-0755,夕張市紅葉山,142.024478,42.914667,1962/12/25,2016/3/26,2,1111006
1110132,1110132,鷲ノ巣,,,11101,1,049-3122,二海郡八雲町花浦,140.269919,42.278389,1987/4/1,2016/3/26,2,1110132
1110112,1110112,東山,,,11101,1,049-2141,茅部郡森町字駒ケ岳,140.605222,42.06172,,,2,1110112
1110113,1110113,姫川,,,11101,1,049-2306,茅部郡森町字姫川,140.591632,42.081312,,,2,1110113
1110124,1110124,桂川,,,11101,1,049-2321,茅部郡森町字鷲ノ木町,140.5427876,42.1156004,,,2,1110124
1110135,1110135,北豊津,,,11101,1,049-3464,山越郡長万部町字豊津,140.297868,42.400969,,,2,1110135
1110203,1110203,蕨岱,,,11102,1,049-3503,山越郡長万部町字蕨岱,140.313353,42.626353,,,2,1110203
#江差線廃線区間,,,,,,,,,,,,,,
1111901,1111901,江差,,,11119,1,043-0056,檜山郡江差町字陣屋町,140.127933,41.856727,1936/11/10,2014/5/12,2,1111901
1111902,1111902,上ノ国,,,11119,1,049-0611,檜山郡上ノ国町字大留,140.124106,41.805567,1936/11/10,2014/5/12,2,1111902
1111903,1111903,中須田,,,11119,1,049-0624,檜山郡上ノ国町字中須田,140.149321,41.787214,,2014/5/12,2,1111903
1111904,1111904,桂岡,,,11119,1,049-0626,檜山郡上ノ国町字桂岡,140.166071,41.773096,1936/11/10,2014/5/12,2,1111904
1111905,1111905,宮越,,,11119,1,049-0564,檜山郡上ノ国町字早瀬,140.184998,41.762404,1964/12/30,2014/5/12,2,1111905
1111906,1111906,湯ノ岱,,,11119,1,049-0562,檜山郡上ノ国町字湯ノ岱,140.243698,41.750312,1935/12/10,2014/5/12,2,1111906
1111907,1111907,神明,,,11119,1,049-0561,檜山郡上ノ国町字神明,140.265709,41.734481,1957/1/25,2014/5/12,2,1111907
1111908,1111908,吉堀,,,11119,1,049-0453,上磯郡木古内町字大川,140.379226,41.684059,1935/12/10,2014/5/12,2,1111908
1111909,1111909,渡島鶴岡,,,11119,1,049-0455,上磯郡木古内町字鶴岡,140.41137,41.671014,1964/12/30,2014/5/12,2,1111909
#江差線廃線区間ここまで,,,,,,,,,,,,,,
1111805,1111805,知内,,,11118,1,049-1221,上磯郡知内町湯ノ里,140.33494,41.601092,1990/7/1,2014/3/14,2,1111805
#青森県,,,,,,,,,,,,,,
1111803,1111803,竜飛海底,,,11118,2,030-1400,東津軽郡外ヶ浜町三厩宇鉄立浜,140.347946,41.257228,1988/3/13,2014/3/14,2,1111803
#十和田観光電鉄,,,,,,,,,,,,,,
9920402,9920402,大曲,,,99204,2,033-0071,上北郡六戸町大字犬落瀬字柳沢９０-２８,141.343038,40.648069,,,2,9920402
9920403,9920403,柳沢,,,99204,2,033-0071,上北郡六戸町大字犬落瀬字柳沢,141.320889,40.642973,,,2,9920403
9920404,9920404,七百,,,99204,2,033-0071,上北郡六戸町大字犬落瀬字権現沢１４-６６,141.305855,40.643631,,,2,9920404
9920405,9920405,古里,,,99204,2,039-2372,上北郡六戸町大字折茂字古里,141.28486,40.63877,,,2,9920405
9920406,9920406,三農校前,,,99204,2,039-2372,上北郡六戸町大字折茂字今熊２４７,141.267245,40.636861,,,2,9920406
9920407,9920407,高清水,,,99204,2,034-0041,十和田市大字相坂字高清水７７-３,141.259046,40.635,,,2,9920407
9920408,9920408,北里大学前,,,99204,2,034-0001,十和田市大字三本木字前谷地,141.236837,40.628666,,,2,9920408
9920409,9920409,工業高校前,,,99204,2,034-0001,十和田市大字三本木字下平２１５,141.22926,40.627338,,,2,9920409
9920410,9920410,ひがし野団地,,,99204,2,034-0001,十和田市大字三本木字下平６０,141.223714,40.626624,,,2,9920410
9920411,9920411,十和田市,,,99204,2,034-0012,十和田市東一番町７-２７,141.214062,40.623747,,,2,9920411
#十和田観光電鉄ここまで,,,,,,,,,,,,,,

#東京都,,,,,,,,,,,,,,
13001,13001,中千住,,,21002,13,,,139.8052,35.74597,,,2,
13002,13002,武蔵横山,,,900001,,,,139.301472,35.652028,,,2,
13003,13003,多摩御陵前,,,900001,,,,139.289861,35.650111,,,2,
13004,13004,上り屋敷,,,22001,,,,139.704778,35.725278,,,2,
13005,13005,東国分寺,,,22011,,,,139.478056,35.707611,,,2,
13006,13006,西千住,,,23001,,,,139.793167,35.744333,,,2,
13007,13007,博物館動物園,,,23001,,,,139.773472,35.718639,,,2,
13008,13008,昌平橋,,,900002,,,,139.768583,35.698278,,,2,
#東京都ここまで,,,,,,,,,,,,,,
#神奈川,,,,,,,,,,,,,,
14001,14001,二宮(湘南軌道),,,900003,14,,,139.257778,35.298778,,,2,
14002,14002,中里,,,900003,,,,139.249389,35.308528,,,2,
14003,14003,一色,,,900003,,,,139.242028,35.318972,,,2,
14004,14004,下井ノ口,,,900003,,,,139.235278,35.331111,,,2,
14005,14005,上井ノ口,,,900003,,,,139.232222,35.343056,,,2,
14006,14006,大竹,,,900003,,,,139.234722,35.360278,,,2,
14007,14007,台町,,,900003,,,,139.232194,35.370028,,,2,
#京都府,,,,,,,,,,,,,,
26001,26001,福知山西,,,900004,26,,,135.117472,35.303528,,,2,
26002,26002,下川停留所,,,900004,,,,135.109778,35.330028,,,2,
26003,26003,上天津,,,900004,,,,135.108139,35.340333,,,2,
26004,26004,下天津(北丹鉄道),,,900004,,,,135.113306,35.357472,,,2,
26005,26005,公庄(北丹鉄道),,,900004,,,,135.127944,35.371556,,,2,
26006,26006,蓼原停留所,,,900004,,,,135.141278,35.383139,,,2,
26007,26007,河守,,,900004,,,,135.146444,35.389,,,2,
#兵庫県
#三木線(座標はWikipediaのものに置き換え)
#9964201,1163204,厄神,,,99642,28,675-1213,加古川市上荘町国包,134.9068,34.794672,,,2,9964201
9964202,9964202,国包,,,99642,28,675-1213,兵庫県加古川市上荘町国包,134.9166,34.797397,,,2,9964202
9964203,9964203,宗佐,,,99642,28,675-1201,兵庫県加古川市八幡町宗佐,134.922511,34.798175,,,2,9964203
9964204,9964204,下石野,,,99642,28,673-0453,兵庫県三木市別所町下石野1丁目,134.927631,34.797067,,,2,9964204
9964205,9964205,石野,,,99642,28,673-0453,兵庫県三木市別所町下石野3丁目,134.933939,34.794961,,,2,9964205
9964206,9964206,西這田,,,99642,28,673-0445,兵庫県三木市別所町西這田1丁目,134.95175,34.795028,,,2,9964206
9964207,9964207,別所,,,99642,28,673-0444,兵庫県三木市別所町東這田,134.96335,34.794461,,,2,9964207
9964208,9964208,高木,,,99642,28,673-0435,兵庫県三木市別所町高木,134.970381,34.793667,,,2,9964208
9964209,9964209,三木,,,99642,28,673-0403,兵庫県三木市末広一丁目1-35,134.977478,34.794672,,,2,9964209
#三木線ここまで
