station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,add,lat,lon,open_ymd,close_ymd,e_status,e_sort
#！！！！2017 03/22・31の駅情報更新内容！！！！！！,,,,,,,,,,,,,,
#04/28(金)更新内容 まちなか陸前高田の位置,,,,,,,,,,,,,,
#スクリーン 駅メモより,,,,,,,,,,,,,,
9960203,9960203,スクリーン,,,99602,,,,35.233142,136.267203,,,0,
#須磨海浜公園 駅メモより,,,,,,,,,,,,,,
1160822,1160822,須磨海浜公園,,,11608,,,,34.647185,135.126677,,,0,
#筑後船小屋 座標変更 駅メモより,,,,,,,,,,,,,,
1190322,1190322,筑後船小屋,,,11903,,,,33.178056,130.491528,,,0,
#京急 羽田空港国際線ターミナル 座標変更 座標は駅メモより,,,,,,,,,,,,,,
2700207,2700207,羽田空港国際線ターミナル,,,27002,,,,35.544913,139.767217,,,0,
#大船渡線BRT区間 ,,,,,,,,,,,,,,
#大船渡魚市場前はWikipediaから,,,,,,,,,,,,,,
#鹿折唐桑、八幡大橋(東陵高校)、奇跡の一本松、竹駒、下船渡は駅メモから直接,,,,,,,,,,,,,,
#他(???)はgoogle places API,,,,,,,,,,,,,,
#まちなか陸前高田の位置を修正(駅メモより),,,,,,,,,,,,,,
100000001,100000001,鹿折唐桑,,,11208,,,,38.915611,141.580966,,,0,
100000002,100000002,上鹿折,,,11208,,,???,38.960166,141.566826,,,0,
100000003,100000003,八幡大橋(東陵高校),,,11208,,,,38.920961,141.5853,,,0,
100000004,100000004,長部,,,11208,,,???,38.986109,141.618653,,,0,
100000005,100000005,奇跡の一本松,,,11208,,,,39.00798,141.626246,,,0,
100000006,100000006,陸前矢作,,,11208,,,???,39.0226555,141.5794509,,,0,
100000007,100000007,竹駒,,,11208,,,,39.033908,141.609486,,,0,
100000008,100000008,陸前高田,,,11208,,,???,39.027827,141.624679,,,0,
100000009,100000009,まちなか陸前高田,,,11208,,,???,39.015482,141.630299,,,0,
100000010,100000010,高田高校前,,,11208,,,???,39.015468,141.635206,,,0,
100000011,100000011,高田病院,,,11208,,,???,39.018801,141.66237,,,0,
100000012,100000012,脇ノ沢,,,11208,,,???,39.011886,141.671759,,,0,
100000013,100000013,小友,,,11208,,,???,38.989306,141.699507,,,0,
100000014,100000014,碁石海岸口,,,11208,,,???,39.003416,141.709561,,,0,
100000015,100000015,細浦,,,11208,,,???,39.016026,141.713727,,,0,
100000016,100000016,下船渡,,,11208,,,,39.038329,141.720864,,,0,
100000017,100000017,大船渡魚市場前,,,11208,,,,39.051278,141.72075,,,0,
100000018,100000018,大船渡,,,11208,,,???,39.063548,141.720807,,,0,
#気仙沼線BRT区間,,,,,,,,,,,,,,
#陸前小泉、小金沢、大谷海岸、南気仙沼は駅メモから,,,,,,,,,,,,,,
#他はgoogle places APIから,,,,,,,,,,,,,,
100000019,100000019,柳津,,,11224,,,,38.611866,141.306365,,,0,
100000020,100000020,陸前横山,,,11224,,,,38.631018,141.3542028,,,0,
100000021,100000021,陸前戸倉,,,11224,,,,38.647754,141.433353,,,0,
100000022,100000022,志津川,,,11224,,,,38.6766679,141.4496276,,,0,
100000023,100000023,ベイサイドアリーナ,,,11224,,,,38.6804427,141.460828,,,0,
100000024,100000024,清水浜,,,11224,,,,38.691612,141.489485,,,0,
100000025,100000025,歌津,,,11224,,,,38.716832,141.519203,,,0,
100000026,100000026,陸前港,,,11224,,,,38.739198,141.5310284,,,0,
100000027,100000027,蔵内,,,11224,,,,38.753578,141.525006,,,0,
100000028,100000028,陸前小泉,,,11224,,,,38.765546,141.509175,,,0,
100000029,100000029,本吉,,,11224,,,,38.78674,141.502618,,,0,
100000030,100000030,小金沢,,,11224,,,,38.796359,141.533986,,,0,
100000031,100000031,大谷海岸,,,11224,,,,38.814266,141.567134,,,0,
100000032,100000032,陸前階上,,,11224,,,,38.837431,141.580275,,,0,
100000033,100000033,最知,,,11224,,,,38.853374,141.581274,,,0,
100000034,100000034,松岩,,,11224,,,,38.8736937,141.5831404,,,0,
100000035,100000035,南気仙沼,,,11224,,,,38.894763,141.567322,,,0,
100000036,100000036,不動の沢,,,11224,,,,38.89848,141.5626799,,,0,
#2017/04/28 十府ヶ浦海岸の位置修正,,,,,,,,,,,,,,
9920717,9920717,十府ヶ浦海岸,,,99207,,,,40.096833,141.824167,,,0,
