station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,add,lon,lat,open_ymd,close_ymd,e_status,e_sort
100201,1130101,東京,とうきょう,Tokyo,1002,13,,,139.766084,35.681382,,,0,100201
100202,1130103,品川,しながわ,Shinagawa,1002,13,,,139.74044,35.630152,,,0,100202
100203,1130604,新横浜,しんよこはま,Shin-Yokohama,1002,14,,,139.617585,35.507456,,,0,100203
100204,1130116,小田原,おだわら,Odawara,1002,14,,,139.154904,35.25642,,,0,100204
100205,1130121,熱海,あたみ,Atami,1002,22,,,139.07776,35.103217,,,0,100205
100206,1150103,三島,みしま,Mishima,1002,22,,,138.910627,35.127152,,,0,100206
100207,100207,新富士,しんふじ,Shin-Fuji,1002,22,,,138.663382,35.142015,,,0,100207
100208,1150118,静岡,しずおか,Shizuoka,1002,22,,,138.38884,34.97171,,,0,100208
100209,1150128,掛川,かけがわ,Kakegawa,1002,22,,,138.014928,34.769758,,,0,100209
100210,1150201,浜松,はままつ,Hamamatsu,1002,22,,,137.734442,34.703741,,,0,100210
100211,1141301,豊橋,とよはし,Toyohashi,1002,23,,,137.381651,34.762811,,,0,100211
100212,1150222,三河安城,みかわあんじょう,Mikawa-anjo,1002,23,,,137.060662,34.96897,,,0,100212
100213,1141101,名古屋,なごや,Nagoya,1002,23,,,136.881645,35.170686,,,0,100213
100214,3002102,岐阜羽島,ぎふはしま,Gifu-Hashima,1002,21,,,136.685556,35.315833,,,0,100214
100215,1141501,米原,まいばら,Maibara,1002,25,,,136.290488,35.314188,,,0,100215
100216,1160120,京都,きょうと,Kyoto,1002,26,,,135.757755,34.985458,,,0,100216
100217,1160213,新大阪,しんおおさか,Shin-Osaka,1002,27,,,135.500109,34.73348,,,0,100217
100301,1160213,新大阪,しんおおさか,Shin-Osaka,1003,27,,,135.500109,34.73348,,,0,100301
100302,9963601,新神戸,しんこうべ,Shin-Kobe,1003,28,,,135.195758,34.706417,,,0,100302
100303,1160811,西明石,にしあかし,Nishi-Akashi,1003,28,,,134.960542,34.666855,,,0,100303
100304,1160821,姫路,ひめじ,Himeji,1003,28,,,134.690849,34.827642,,,0,100304
100305,1160905,相生,あいおい,Aioi,1003,28,,,134.473888,34.817955,,,0,100305
100306,1160917,岡山,おかやま,Okayama,1003,33,,,133.918588,34.666369,,,0,100306
100307,1161007,新倉敷,しんくらしき,Shin-Kurashiki,1003,33,,,133.678671,34.56499,,,0,100307
100308,1161014,福山,ふくやま,Fukuyama,1003,34,,,133.361432,34.489327,,,0,100308
100309,100309,新尾道,しんおのみち,Shin-Onomichi,1003,34,,,133.190158,34.429859,,,0,100309
